"","sitename","exp_et","beta_et","rwsc"
"1","US-NR1",0.0977659488405143,0.343159198773562,24.3514193871437
"2","US-NR1",0.0809175686964652,0.336775938414753,24.460102425626
"3","US-NR1",0.0800323658422384,0.336724006225704,24.2148737910241
"4","US-NR1",0.0823668432797673,0.335139270261302,24.2343847113638
"5","US-NR1",0.0572876922559807,0.336970713497313,24.2997932241076
"6","US-NR1",0.0730439041465844,0.338901708967739,24.2599411998142
"7","US-NR1",0.0945673548915103,0.335294916504594,24.1306646207213
"8","US-NR1",0.119510756333503,0.33559969447377,23.8166303626768
"9","US-NR1",0.0939528285435687,0.341221161736836,24.3339368375916
"10","US-NR1",0.136574696884183,0.344508191388408,24.3172982214642
