,sitename,exp_et,beta_et,rwsc,,
1,US-Wkg,1.5,0.220784016,50.96961141,,
2,US-Wkg,1.5,0.223456601,47.32465835,,
3,US-Wkg,1.499999961,0.233332507,48.18629255,,
4,US-Wkg,1.5,0.233659917,46.15923742,,
5,US-Wkg,1.5,0.23971983,30.71832084,,
6,US-Wkg,1.499198597,0.250654654,26.14660242,,
7,US-Wkg,1.499999942,0.233076078,46.27023606,,
8,US-Wkg,1.5,0.211041502,39.50934393,,
9,US-Wkg,1.5,0.23345556,28.59010767,,
10,US-Wkg,1.5,0.230993602,46.51923814,,
,,,,41.03936488,9.179934018,0.223686064
