"","sitename","exp_et","beta_et","rwsc"
"1","GF-Guy",0.0742822179543275,0.623324275958035,62.3225695971717
"2","GF-Guy",0.0782911402754687,0.622023887946417,62.9657657007094
"3","GF-Guy",0.083674232446381,0.625183680432333,47.96837865122
"4","GF-Guy",0.0806824775196816,0.616006070044295,50.905863008885
"5","GF-Guy",0.0726640784116604,0.627038949912322,85.5873011755948
"6","GF-Guy",0.0853204536384709,0.623339911883167,62.6480212588093
"7","GF-Guy",0.0906095464339166,0.630133734528021,47.8023879913837
"8","GF-Guy",0.0791197671363717,0.622804499130062,62.5461074033132
"9","GF-Guy",0.073381637787394,0.622926752276723,92.2352015877371
"10","GF-Guy",0.083642102053285,0.625643165174037,64.6342281830944
