"","sitename","exp_et","beta_et","rwsc"
"1","FR-Pue",1.43092500598462,0.329529032299287,117.830404276803
"2","FR-Pue",1.49999812111182,0.346545816213901,111.470041152417
"3","FR-Pue",1.4925230455573,0.338844531988462,117.48012074897
"4","FR-Pue",1.49995190745158,0.336410604677269,122.192105856951
"5","FR-Pue",1.49575753413223,0.337413511466699,116.098282327516
"6","FR-Pue",1.22174003225075,0.321701730496893,108.048835639212
"7","FR-Pue",1.45190261069169,0.335247419505481,120.855308337727
"8","FR-Pue",1.4999999687873,0.328750895608924,111.97289532287
"9","FR-Pue",1.49869431317229,0.326166790304528,117.019773211428
"10","FR-Pue",1.40410829261499,0.349933430971147,113.101616051526
