,sitename,exp_et,beta_et,rwsc,,
1,US-Ton,1.339688184,0.210973449,291.9030084,,
2,US-Ton,1.404211439,0.216733907,292.0228152,,
3,US-Ton,1.448360208,0.182209192,134.9576295,,
4,US-Ton,1.480489612,0.194102772,284.9913387,,
5,US-Ton,1.452912891,0.18770612,166.1782624,,
6,US-Ton,1.486373955,0.226775733,292.6435274,,
7,US-Ton,1.278388057,0.174410356,141.1702319,,
8,US-Ton,1.333383053,0.16952519,190.4136281,,
9,US-Ton,1.356301705,0.182770325,239.1990363,,
10,US-Ton,1.449589304,0.208895497,198.335687,,
,,,,223.1815165,64.81896125,0.290431584
