,sitename,exp_et,beta_et,rwsc,,
1,US-SRM,1.5000,0.244626862,38.84849883,,
2,US-SRM,1.0557,0.249475718,20.73190017,,
3,US-SRM,1.0748,0.25188124,20.47120951,,
4,US-SRM,1.0409,0.247631931,20.92452073,,
5,US-SRM,1.0318,0.245574703,20.82488379,,
6,US-SRM,1.0303,0.247327075,21.29232087,,
7,US-SRM,1.0928,0.254821499,20.36397017,,
8,US-SRM,1.5000,0.236888975,39.88579172,,
9,US-SRM,1.5000,0.228129793,46.55375716,,
10,US-SRM,1.1351,0.250147806,20.46842809,,
,,,,27.0365281,10.35481768,0.382993617
