,sitename,nyeartrend
1,AT-Neu,11
2,AU-DaS,7
3,DE-Hai,13
4,DE-Tha,19
5,FR-LBr,13
6,FR-Pue,15
7,GF-Guy,11
8,NL-Loo,18
9,US-Me2,13
10,US-NR1,17
11,US-SRM,11
12,US-Ton,14
13,US-Wkg,11
