"","sitename","exp_et","beta_et","rwsc"
"1","AT-Neu",0.347094339438008,0.512462591346311,324.44573022984
"2","AU-DaS",0.856018983031561,0.495593541846406,631.822272956371
"3","DE-Hai",0.609462760388851,0.423274577092208,607.869197264314
"4","DE-Tha",1.23840910877427,0.379828434152925,137.931323932353
"5","FR-LBr",0.575053795173612,0.411781909028762,311.115141496062
"6","FR-Pue",1.5,0.33419930971995,116.021983385245
"7","GF-Guy",0.0914254897635376,0.620658176075272,46.2095063838069
"8","NL-Loo",0.291045639713733,0.384734898841093,41.0006376588717
"9","US-Me2",0.625340049043866,0.291143823990044,352.011896595126
"10","US-NR1",0.01,0.325090608018106,981.132813677192
"11","US-SRM",1.5,0.242503913000459,26.221714511513
"12","US-Ton",0.889447170119677,0.170308935175879,178.154676216887
"13","US-Wkg",1.5,0.225542643392805,62.1426197793335
