"","sitename","exp_et","beta_et","rwsc"
"1","FR-LBr",0.553266944025481,0.417496535678114,330.139214939226
"2","FR-LBr",0.322755215325783,0.407986560372059,168.276975985046
"3","FR-LBr",0.597739603366007,0.415582703272261,221.740681700066
"4","FR-LBr",0.619381335074861,0.424693456316137,228.636730812071
"5","FR-LBr",0.288102789497705,0.405054999495539,84.2597412485227
"6","FR-LBr",0.627905536841635,0.420595762181022,231.566510254744
"7","FR-LBr",0.529456332680985,0.405306778383658,194.91092805477
"8","FR-LBr",0.157870808492664,0.393765861580949,78.456490153299
"9","FR-LBr",0.292394311629768,0.393978595264868,111.92268978474
"10","FR-LBr",0.595161540678314,0.420236626168079,178.063763609484
