"","sitename","exp_et","beta_et","rwsc"
"1","US-Wkg",1.5,0.23307604346989,46.2993983372291
"2","US-Wkg",1.5,0.231355599322293,46.4255851268439
"3","US-Wkg",1.49999986052305,0.222486843701499,47.4189053321932
"4","US-Wkg",1.5,0.228057672013336,48.9925572308159
"5","US-Wkg",1.5,0.219543252666857,48.8751342708179
"6","US-Wkg",1.5,0.224751874785415,47.1953958180258
"7","US-Wkg",1.49999999999535,0.221996855206613,49.2640262611339
"8","US-Wkg",1.5,0.23238883464121,46.1844027643955
"9","US-Wkg",1.5,0.233817823739314,49.2185487407664
"10","US-Wkg",1.5,0.233457126479447,48.9096992686046
