"","sitename","exp_et","beta_et","rwsc"
"1","US-SRM",1.5,0.244626861520155,38.848498833411
"2","US-SRM",1.05566041262336,0.249475717687803,20.731900168138
"3","US-SRM",1.07478874069748,0.251881239689314,20.4712095079192
"4","US-SRM",1.04090781283736,0.247631930672517,20.9245207308238
"5","US-SRM",1.03180941873517,0.245574702742424,20.824883786413
"6","US-SRM",1.03033193275026,0.247327075471327,21.2923208730032
"7","US-SRM",1.09283328581928,0.254821499459453,20.3639701673882
"8","US-SRM",1.5,0.236888974806884,39.8857917188063
"9","US-SRM",1.5,0.228129793490177,46.553757156034
"10","US-SRM",1.1351498826408,0.250147805508959,20.4684280934548
