,sitename,exp_et,beta_et,rwsc
1,AT-Neu,0.349780058,0.506842114,335.9220107
2,AU-DaS,0.824980857,0.482786838,585.1606866
3,DE-Hai,0.60946276,0.400393016,607.8691973
4,DE-Tha,1.499998961,0.390557584,91.67982778
5,FR-LBr,0.576365161,0.416597019,161.0618113
6,FR-Pue,1.433458878,0.320125676,127.7917497
7,GF-Guy,0.080697399,0.631350348,52.30151753
8,NL-Loo,0.228394413,0.366060637,60.62865016
9,US-Me2,0.468032252,0.297898463,303.8883556
10,US-NR1,0.050169779,0.332170881,38.57012048
11,US-SRM,1.5,0.218094915,41.5588767
12,US-Ton,1.238779496,0.164697762,178.1546752
13,US-Wkg,1.5,0.243599544,62.14261978
