,sitename,exp_et,beta_et,rwsc
1,AT-Neu,0.054730563,0.510829017,79.55831361
2,AU-DaS,0.931917188,0.499228948,588.2079339
3,DE-Hai,0.60946276,0.396406702,607.8691973
4,DE-Tha,0.528920421,0.365965492,45.81730774
5,FR-LBr,0.550220699,0.406999574,311.3971922
6,FR-Pue,1.470788952,0.328026917,117.4728526
7,GF-Guy,0.099502202,0.634135005,52.30151753
8,NL-Loo,1.499999782,0.445386812,87.39847041
9,US-Me2,0.667407744,0.271944419,348.3087535
10,US-NR1,0.038320396,0.321605122,63.6080555
11,US-SRM,0.965382674,0.244502757,26.09859743
12,US-Ton,1.499760616,0.183403342,178.1546762
13,US-Wkg,1.5,0.236821774,62.14261978
