,sitename,exp_et,beta_et,rwsc
1,AT-Neu,0.398601335,0.521887238,335.3325811
2,AU-DaS,0.911805391,0.50293176,631.822274
3,DE-Hai,0.60946276,0.394496066,607.8691973
4,DE-Tha,1.081206073,0.368428648,218.0415617
5,FR-LBr,0.646075076,0.420284168,215.1645283
6,FR-Pue,1.446306451,0.338023822,122.6584598
7,GF-Guy,0.096387311,0.622192326,45.97893035
8,NL-Loo,0.284508505,0.389713258,42.13680951
9,US-Me2,0.617996621,0.293756898,352.0118966
10,US-NR1,0.044805977,0.311174847,987.5774374
11,US-SRM,1.490884626,0.247556449,44.98037334
12,US-Ton,0.892157491,0.16529583,178.1546752
13,US-Wkg,1.5,0.236870014,62.14261978
