,sitename,exp_et,beta_et,rwsc,,
1,NL-Loo,0.39,0.42,20,,
2,NL-Loo,0.37,0.40,20,,
3,NL-Loo,0.42,0.42,20,,
4,NL-Loo,0.36,0.41,20,,
5,NL-Loo,0.39,0.41,20,,
6,NL-Loo,0.39,0.41,20,,
7,NL-Loo,0.43,0.41,20,,
8,NL-Loo,0.39,0.41,20,,
9,NL-Loo,0.34,0.41,20,,
10,NL-Loo,0.42,0.42,20,,
,,,,20,0.000147124,7.36E-06
,,0.43,0.42,20,,
,,0.34,0.40,20,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
