,sitename,exp_et,beta_et,rwsc
1,FR-LBr,0.25,0.4,82
2,FR-LBr,0.31,0.4,130
3,FR-LBr,0.34,0.41,118
4,FR-LBr,0.53,0.41,205
5,FR-LBr,0.56,0.41,226
6,FR-LBr,0.57,0.42,323
7,FR-LBr,0.6,0.41,214
8,FR-LBr,0.61,0.43,192
9,FR-LBr,0.61,0.42,226
10,FR-LBr,0.71,0.44,208
,,0.71,0.44,323
,,0.25,0.4,82
