,sitename,exp_et,beta_et,rwsc,,
1,FR-Pue,1.43,0.33,118,,
2,FR-Pue,1.5,0.35,111,,
3,FR-Pue,1.49,0.34,117,,
4,FR-Pue,1.5,0.34,122,,
5,FR-Pue,1.5,0.34,116,,
6,FR-Pue,1.22,0.32,108,,
7,FR-Pue,1.45,0.34,121,,
8,FR-Pue,1.5,0.33,112,,
9,FR-Pue,1.5,0.33,117,,
10,FR-Pue,1.4,0.35,113,,
,,,,116,4.413636652,0.038177956
,,1.5,0.35,122,,
,,1.22,0.32,108,,
