,sitename,exp_et,beta_et,rwsc
1,DE-Hai,0.53,0.42,348
2,DE-Hai,0.63,0.43,349
3,DE-Hai,0.84,0.42,351
4,DE-Hai,0.84,0.42,348
5,DE-Hai,1.11,0.43,352
6,DE-Hai,1.14,0.41,350
7,DE-Hai,1.17,0.43,349
8,DE-Hai,1.35,0.42,349
9,DE-Hai,1.5,0.42,351
10,DE-Hai,1.5,0.43,352
,,1.5,0.43,352
,,0.53,0.41,348
