,sitename,exp_et,beta_et,rwsc
1,AT-Neu,0.74,0.52,335
2,AT-Neu,1.01,0.53,336
3,AT-Neu,1.02,0.53,336
4,AT-Neu,1.41,0.51,344
5,AT-Neu,1.5,0.53,351
6,AT-Neu,1.5,0.53,347
7,AT-Neu,1.5,0.51,350
8,AT-Neu,1.5,0.5,350
9,AT-Neu,1.5,0.51,349
10,AT-Neu,1.5,0.5,350
,,1.5,0.53,351
,,0.74,0.5,335
