,sitename,exp_et,beta_et,rwsc,,
1,US-Me2,0.85,0.29,289,,
2,US-Me2,0.43,0.30,231,,
3,US-Me2,1.09,0.31,301,,
4,US-Me2,0.99,0.30,354,,
5,US-Me2,0.96,0.29,320,,
6,US-Me2,0.48,0.30,244,,
7,US-Me2,1.00,0.29,310,,
8,US-Me2,0.85,0.31,341,,
9,US-Me2,0.78,0.30,245,,
10,US-Me2,0.65,0.31,231,,
,,,,287,45.99552027,0.160497667
,,1.09,0.31,354,,
,,0.43,0.29,231,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
