,sitename,exp_et,beta_et,rwsc
1,AU-DaS,0.61,0.48,457
2,AU-DaS,0.81,0.49,589
3,AU-DaS,0.83,0.49,588
4,AU-DaS,0.84,0.5,591
5,AU-DaS,0.85,0.49,585
6,AU-DaS,0.86,0.49,581
7,AU-DaS,0.86,0.49,585
8,AU-DaS,0.89,0.49,583
9,AU-DaS,0.92,0.49,595
10,AU-DaS,0.98,0.5,578
,,0.98,0.5,595
,,0.61,0.48,457
