,sitename,exp_et,beta_et,rwsc,,
1,US-NR1,0.10,0.34,24,,
2,US-NR1,0.08,0.34,24,,
3,US-NR1,0.08,0.34,24,,
4,US-NR1,0.08,0.34,24,,
5,US-NR1,0.06,0.34,24,,
6,US-NR1,0.07,0.34,24,,
7,US-NR1,0.09,0.34,24,,
8,US-NR1,0.12,0.34,24,,
9,US-NR1,0.09,0.34,24,,
10,US-NR1,0.14,0.34,24,,
,,,,24,0.17367084,0.007164076
,,0.06,0.34,24,,
,,0.14,0.34,24,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
