,sitename,exp_et,beta_et,rwsc,,
1,GF-Guy,0.07,0.62,62,,
2,GF-Guy,0.08,0.62,63,,
3,GF-Guy,0.08,0.63,48,,
4,GF-Guy,0.08,0.62,51,,
5,GF-Guy,0.07,0.63,86,,
6,GF-Guy,0.09,0.62,63,,
7,GF-Guy,0.09,0.63,48,,
8,GF-Guy,0.08,0.62,63,,
9,GF-Guy,0.07,0.62,92,,
10,GF-Guy,0.08,0.63,65,,
,,,,64,14.76588663,0.230855555
,,0.09,0.63,92,,
,,0.07,0.62,48,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
