,sitename,exp_et,beta_et,rwsc,,
1,US-SRM,1.04,0.25,20.41580298,,
2,US-SRM,0.98,0.24,21,,
3,US-SRM,1.25,0.27,21,,
4,US-SRM,1.02,0.24,21,,
5,US-SRM,1.12,0.26,20,,
6,US-SRM,1.02,0.24,20,,
7,US-SRM,1.5,0.24,49,,
8,US-SRM,0.99,0.24,21,,
9,US-SRM,1.03,0.24,21,,
10,US-SRM,1.5,0.25,38,,
,,,,25,10.12942508,0.400336227
,,1.5,0.27,49,,
,,0.98,0.24,20,,
