,sitename,exp_et,beta_et,rwsc
1,DE-Tha,0.61,0.35,80
2,DE-Tha,0.69,0.35,67
3,DE-Tha,0.86,0.36,94
4,DE-Tha,1.02,0.36,117
5,DE-Tha,1.03,0.37,101
6,DE-Tha,1.11,0.37,133
7,DE-Tha,1.5,0.35,328
8,DE-Tha,1.5,0.35,340
9,DE-Tha,1.5,0.36,331
10,DE-Tha,1.5,0.36,332
,,1.5,0.37,340
,,0.61,0.35,67
